,shortcode,mediaid,caption,url,is_video,comments,typename,owner_username,tagged_users,date,owner_id,caption_mentions,id,caption_hashtags,likes,video_url
77,BRYtsWWggLB,1.46612E+18,"Pourquoi Joanne White aime-t-elle la science? « Je suis naturellement curieuse, et je veux que mon travail ait du sens. »Spécialiste en télédétection des dynamiques forestières, Joanne repère les changements dans l'étendue et la santé des forêts du Canada",https://instagram.fyvr3-1.fna.fbcdn.net/vp/10f85782585b6d02541c04dac73219d2/5AD8F6DE/t51.2885-15/e35/17077157_386542605035344_7996389490585239552_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-03-08T09:50:59,4210755410,[],2017-03-08_09-50-59,"[""femmesdescience"",""femmesenstim"",""fillesetscience"",""scirncan""]",3,
78,BRYtyh5ASH3,1.46612E+18,Bonne éeinternationaledelafemme!Merci de célébrer les femmes de science de RNCan avec nous! éeinternationaledelafemme,https://instagram.fyvr3-1.fna.fbcdn.net/vp/5fddd47d068e12500535679ab9adde7b/5AE0898E/t51.2885-15/e35/17125503_1876390649269306_2797155575312416768_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-03-08T09:51:50,4210755410,[],2017-03-08_09-51-50,"[""journéeinternationaledelafemme"",""femmesdescience"",""journéeinternationaledelafemme"",""femmesenstim"",""fillesetscience"",""scirncan""]",6,
79,BRYt2z5ApvM,1.46612E+18,La s.p. Rudd parle de l'imp. d'attirer + de femmes à des postes de direction pour mener la révolution ÉnergiePropre,https://instagram.fyvr3-1.fna.fbcdn.net/vp/087f2088e09576341f1307b497addd19/5AF04E3A/t51.2885-15/e35/17126222_1453762734655285_4368429017926205440_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-03-08T09:52:25,4210755410,[],2017-03-08_09-52-25,"[""énergiepropre""]",1,
80,BRYt9qbA4Ip,1.46612E+18,Le min. Carr rencontre le PDG de Hess Corporationpour discuter des persp. du étrole et du É.-U. et des implications au,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1ac30ba871c2ab1aa67ea59eb01f34ca/5AE76337/t51.2885-15/e35/17127152_294421524308208_2108895016112881664_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-03-08T09:53:21,4210755410,[],2017-03-08_09-53-21,"[""pétrole"",""gazaux"",""canada"",""houston"",""hou"",""ceraweek""]",2,
81,BR53CAdgTi7,1.47545E+18,"Au Canada, la forêt occupe une place dominante dans le paysage et joue un rôle central dans l’économie. Sanctuaire et espace de loisir, elle enrichit la vie de tous les Canadiens et est au cœur des valeurs culturelles et spirituelles des peuples autochtones. Elle offre des habitats à la faune, tempère le climat et filtre l’air et l’eau. En ce mars, Journée internationale des forêts, prenez un moment pour approfondir votre connaissance des forêts du Canada.  êtsDuCanada êt",https://instagram.fyvr3-1.fna.fbcdn.net/vp/0022792928dc3f4d6b1b6f3ffad250b0/5AF8715E/t51.2885-15/e35/17438366_597413840460951_4958836353673461760_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-03-21T07:47:32,4210755410,[],2017-03-21_07-47-32,"[""intforestday"",""forêtsducanada"",""faune"",""forêt""]",1,
82,BR6e8_lgMsq,1.47563E+18,"Bonne Journée internationale des forêts! La santé et la vitalité de nos forêts comptent. Le Canada est fier de ses pratiques d’aménagement forestier reconnues mondialement. Le gouvernement du Canada mise sur l’aménagement forestier durable pour préserver les valeurs et avantages environnementaux, sociaux et économiques des forêts.  êtsDuCanada êt",https://instagram.fyvr3-1.fna.fbcdn.net/vp/486974cc1f6f5a65aa31928ada57ded5/5AE4F131/t51.2885-15/e35/17332324_268477843599276_4795213114901528576_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-03-21T13:36:22,4210755410,[],2017-03-21_13-36-22,"[""intforestday"",""forêtsducanada"",""forêt""]",2,
83,BTbf0aIgscE,1.50293E+18,"! ? La semaine dernière, nous avons lancé Génération Énergie, et nous voulons vos idées. Faites valoir vos idées et contribuez à définir l’avenir de l’énergie au Canada. Consultez generationenergie.ca pour savoir comment participer. énÉnergie Énergie ÉnergiePropre",https://instagram.fyvr3-1.fna.fbcdn.net/vp/3bc6d219b1b2298565285bd4dc4b0065/5AE8800E/t51.2885-15/e35/18013131_1047234862075907_64293577361981440_n.jpg,FALSE,1,GraphImage,ressourcesnaturellescanada,[],2017-04-28T05:50:16,4210755410,[],2017-04-28_05-50-16,"[""canadiens"",""lsv"",""génénergie"",""énergie"",""bascarbone"",""énergiepropre"",""durable""]",9,
84,BT6oApjg7dH,1.5117E+18,"« On veut vos idées sur la production, le transport et l’utilisation de l’énergie. » – la SP Rudd aux organisations à l’atelier. énÉnergie generationenergie.ca",https://instagram.fyvr3-1.fna.fbcdn.net/vp/1fb6df40f4eb76f2706b75a1ab1f3eef/5AFC81DD/t51.2885-15/e35/18382043_993837324085346_5100081026126839808_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-05-10T07:58:18,4210755410,[],2017-05-10_07-58-18,"[""génénergie""]",2,
85,BUCUSs1AzXI,1.51386E+18,"Innovations et découvertes amusantes à la ête avec RNChat auj au rue Booth, de h à h",https://instagram.fyvr3-1.fna.fbcdn.net/vp/57455d6ea9de4f6814ba4e705f50b978/5AF5AB8A/t51.2885-15/e35/18382250_294975860925298_8383030624188891136_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-05-13T07:39:55,4210755410,[],2017-05-13_07-39-55,"[""scientifête"",""odysci""]",2,
86,BUCbpJZg8Hz,1.51389E+18,ête est en cours! Découvrez les bibittes et au kiosk de l’Agence canadienne d'inspection des ailments!,https://instagram.fyvr3-1.fna.fbcdn.net/vp/c73e232ed1470e8571e7fb297e269435/5AE6675D/t51.2885-15/e35/18382256_1571868962825504_5073525655652532224_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-05-13T08:44:09,4210755410,[],2017-05-13_08-44-09,"[""sciencefête"",""insectes"",""odysci""]",3,
87,BUCdcuXAIja,1.5139E+18,Nous faisons la crème glacée au kiosk de Let's Talk Science! Joignez-nous à ête,https://instagram.fyvr3-1.fna.fbcdn.net/vp/b5017648e51c170a235d7ec3f49414d0/5ADF1522/t51.2885-15/e35/18382435_206696403174602_1433981720620695552_n.jpg,FALSE,0,GraphImage,ressourcesnaturellescanada,[],2017-05-13T08:59:56,4210755410,[],2017-05-13_08-59-56,"[""sciencefête"",""odysci""]",3,
