,Unnamed: 0,Unnamed: 0.1,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
87,87,87,1965701726789855_1972591886100839,134615279898518_1965701726789855,,2017-12-27 17:36:07,1,1,0,0,0,0,0,0,La nature appartient pas à tout le monde juste aux riches. Vive le Canada!,[],[],La nature appartient pas tout le monde juste aux riches Vive le Canada,"['La', 'nature', 'appartient', 'pas', 'tout', 'le', 'monde', 'juste', 'aux', 'riches', 'Vive', 'le', 'Canada']","['la', u'natur', u'apparti', u'pas', u'tout', 'le', u'mond', u'just', u'aux', u'rich', u'vive', 'le', u'canada']",A nature apparent pas tout le mode just aux riches Give le Canada,0.0,0.05,Neutral,Neutral
88,88,88,1965701726789855_1972793832747311,134615279898518_1965701726789855,1965701726789855_1972591886100839,2017-12-27 23:01:14,1,0,0,0,0,0,1,0,"yep,. et les parcs provinciaux encore plus cher $$",[],[],yep les parcs provinciaux encore plus cher,"['yep', 'les', 'parcs', 'provinciaux', 'encore', 'plus', 'cher']","[u'yep', u'les', u'parc', u'provinciaux', u'encor', u'plus', u'cher']",yep les parts provincial entire plus cher,0.0,0.0,Neutral,Neutral
89,89,89,1965701726789855_1972800186080009,134615279898518_1965701726789855,1965701726789855_1972591886100839,2017-12-27 23:08:32,0,0,0,0,0,0,0,0,🤢,[],[],,[],[],,0.0,0.0,Neutral,Neutral
90,90,90,1965701726789855_1972697839423577,134615279898518_1965701726789855,,2017-12-27 20:19:48,0,0,0,0,0,0,0,0,Alain Roberge Joannie Roberge,[],[],Alain Roberge Joannie Roberge,"['Alain', 'Roberge', 'Joannie', 'Roberge']","[u'alain', u'roberg', u'joanni', u'roberg']",Plain Roberge Joannie Roberge,0.0,-0.21428571428571427,Neutral,Neutral
91,91,91,1965701726789855_1972718752754819,134615279898518_1965701726789855,,2017-12-27 20:55:19,1,1,0,0,0,0,0,0,"C'est une très belle offre (et le tarif est très avantageu, mais, pour ma part, tant que les chiens ne seront pas admis dans les sentiers (alors qu'ils sont admis sur les sites de camping), je ne m'en prévaudrai pas. Pourquoi vous visiter avec mon chien si je ne peux pas pratiquer l'une de mes activités favorites en sa compagnie?",[],[],est une belle offre et le tarif est avantageu mais pour part tant que les chiens ne seront pas admis dans les sentiers alors qu ils sont admis sur les sites de camping je ne en vaudrai pas Pourquoi vous visiter avec mon chien si je ne peux pas pratiquer une de mes favorites en sa compagnie,"['est', 'une', 'belle', 'offre', 'et', 'le', 'tarif', 'est', 'avantageu', 'mais', 'pour', 'part', 'tant', 'que', 'les', 'chiens', 'ne', 'seront', 'pas', 'admis', 'dans', 'les', 'sentiers', 'alors', 'qu', 'ils', 'sont', 'admis', 'sur', 'les', 'sites', 'de', 'camping', 'je', 'ne', 'en', 'vaudrai', 'pas', 'Pourquoi', 'vous', 'visiter', 'avec', 'mon', 'chien', 'si', 'je', 'ne', 'peux', 'pas', 'pratiquer', 'une', 'de', 'mes', 'favorites', 'en', 'sa', 'compagnie']","[u'est', u'une', u'bell', u'offr', 'et', 'le', u'tarif', u'est', u'avantageu', u'mai', u'pour', u'part', u'tant', u'que', u'les', u'chien', 'ne', u'seront', u'pas', u'admi', u'dan', u'les', u'sentier', u'alor', 'qu', u'il', u'sont', u'admi', u'sur', u'les', u'site', 'de', u'camp', 'je', 'ne', 'en', u'vaudrai', u'pas', u'pourquoi', u'vous', u'visit', u'avec', u'mon', u'chien', 'si', 'je', 'ne', u'peux', u'pas', u'pratiqu', u'une', 'de', u'mes', u'favorit', 'en', 'sa', u'compagni']",est une belle offer et le tariff est advantage mais pour part want que les chiefs ne front pas admit dans les settlers also qu is sont admit sur les sites de camping je ne en vaudrai pas Pourquoi vous visitor avec mon chief si je ne peur pas pratiquer une de me favorites en sa compagnie,0.0,0.0,Neutral,Neutral
92,92,92,1965701726789855_1974981999195161,134615279898518_1965701726789855,1965701726789855_1972718752754819,2017-12-30 00:26:28,1,1,0,0,0,0,0,0,"Au parc Forillon, les chiens sont admis partout.",[],[],parc Forillon les chiens admis partout,"['parc', 'Forillon', 'les', 'chiens', 'admis', 'partout']","[u'parc', u'forillon', u'les', u'chien', u'admi', u'partout']",part Forillon les chiefs admit parrot,0.0,0.0,Neutral,Neutral
93,93,93,1965701726789855_1973168126043215,134615279898518_1965701726789855,,2017-12-28 08:48:40,0,0,0,0,0,0,0,0,Kociala Rabhi,[],[],Kociala Rabhi,"['Kociala', 'Rabhi']","[u'kociala', u'rabhi']",Social Rabbi,0.0,0.03333333333333333,Neutral,Neutral
94,94,94,1965701726789855_1973527766007251,134615279898518_1965701726789855,,2017-12-28 16:14:59,1,1,0,0,0,0,0,0,Veronique Cyr ! On prépare le camping pour oublier le froid !,[],[],Veronique Cyr pare le camping pour oublier le froid,"['Veronique', 'Cyr', 'pare', 'le', 'camping', 'pour', 'oublier', 'le', 'froid']","[u'veroniqu', u'cyr', u'pare', 'le', u'camp', u'pour', u'oublier', 'le', u'froid']",Veronique For are le camping pour oublie le from,0.0,0.0,Neutral,Neutral
95,95,95,1965701726789855_1973786065981421,134615279898518_1965701726789855,1965701726789855_1973527766007251,2017-12-28 22:59:02,0,0,0,0,0,0,0,0,Tellement!!!!,[],[],Tellement,['Tellement'],[u'tellement'],Element,0.0,0.0,Neutral,Neutral
96,96,96,1965701726789855_1974547429238618,134615279898518_1965701726789855,,2017-12-29 14:59:38,0,0,0,0,0,0,0,0,Stefany Gonzalez Naomi Samountry,[],[],Stefany Gonzalez Naomi Samountry,"['Stefany', 'Gonzalez', 'Naomi', 'Samountry']","[u'stefani', u'gonzalez', u'naomi', u'samountri']",Tetany Gonzalez Ami Samountry,0.0,0.0,Neutral,Neutral
97,97,97,1962885693738125_1966115586748469,134615279898518_1962885693738125,,2017-12-21 18:59:24,1,1,0,0,0,0,0,0,Bernard Boivin ... aussi à notre âge... sourire,[],[],Bernard Boivin aussi notre ge sourire,"['Bernard', 'Boivin', 'aussi', 'notre', 'ge', 'sourire']","[u'bernard', u'boivin', u'aussi', u'notr', 'ge', u'sourir']",Gerard Boivin aussi notre he source,0.0,0.0,Neutral,Neutral
