Unnamed: 0,owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
81,"{""username"":""printingmoney"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/22430264_493434241030327_8830472749353795584_n.jpg"",""id"":""483740617""}",1490466404,1.78627e+16,2017-03-22_12-44-21,Nice page!,[],[],Nice page,"['Nice', 'page']","[u'nice', u'page']"
82,"{""username"":""socivastudios"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25017524_329310134215739_1307013893121376256_n.jpg"",""id"":""3558364574""}",1490462614,1.78627e+16,2017-03-22_12-44-21,Genius!,[],[],Genius,['Genius'],[u'genius']
83,"{""username"":""lafontainecosmetics"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/11809923_147841805562754_1113625499_a.jpg"",""id"":""1921275656""}",1490266429,1.78745e+16,2017-03-22_12-44-21,Yayyy this is perfect. But I can think of something that would go perfect with it...,[],[],Yayyy perfect think something would go perfect,"['Yayyy', 'perfect', 'think', 'something', 'would', 'go', 'perfect']","[u'yayyy', u'perfect', u'think', u'someth', u'would', 'go', u'perfect']"
84,"{""username"":""the_insta_joker"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/18161691_853760294780175_6349751861691547648_a.jpg"",""id"":""1472862057""}",1490230743,1.7876e+16,2017-03-22_12-44-21,Cool!,[],[],Cool,['Cool'],[u'cool']
85,"{""username"":""carpediemcanada"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/16463886_1925426427691826_8744097632726548480_a.jpg"",""id"":""4583598850""}",1493822094,1.78805e+16,2017-03-23_14-19-31,Enjoy your travels!,[],[],Enjoy travels,"['Enjoy', 'travels']","[u'enjoy', u'travel']"
86,"{""username"":""anniecayadesign"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12917867_532879686872919_1625320355_a.jpg"",""id"":""196046321""}",1490385640,1.7852e+16,2017-03-23_14-19-31,Ils sont adorables!!!!,[],[],Ils adorables,"['Ils', 'adorables']","[u'il', u'ador']"
87,"{""username"":""lnbouh"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/17126239_1723981581245970_4399527780899880960_a.jpg"",""id"":""210293329""}",1490338604,1.78637e+16,2017-03-23_14-19-31,Super mignon on a aussi notre carte reçue gratuitement en Belgique pour notre voyage de septembre !,[],[],Super mignon aussi notre carte ue gratuitement en Belgique pour notre voyage de septembre,"['Super', 'mignon', 'aussi', 'notre', 'carte', 'ue', 'gratuitement', 'en', 'Belgique', 'pour', 'notre', 'voyage', 'de', 'septembre']","[u'super', u'mignon', u'aussi', u'notr', u'cart', 'ue', u'gratuit', 'en', u'belgiqu', u'pour', u'notr', u'voyag', 'de', u'septembr']"
88,"{""username"":""anouslescaribous"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25022630_1613163245430265_7769927225255657472_n.jpg"",""id"":""3280828745""}",1490306431,1.78767e+16,2017-03-23_14-19-31,Trop cute,[],[],Trop cute,"['Trop', 'cute']","[u'trop', u'cute']"
89,"{""username"":""samfarrah_"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/13298010_1030906223667204_1215174427_a.jpg"",""id"":""184173566""}",1490304027,1.78673e+16,2017-03-23_14-19-31,,[],[],nan,['nan'],[u'nan']
90,"{""username"":""zmpfilm"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/20766312_1949857475251762_3122894235867545600_a.jpg"",""id"":""2156914883""}",1491143543,1.78632e+16,2017-03-25_16-34-32,Merci beaucoup!,[],[],Merci beaucoup,"['Merci', 'beaucoup']","[u'merci', u'beaucoup']"
91,"{""username"":""lnbouh"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/17126239_1723981581245970_4399527780899880960_a.jpg"",""id"":""210293329""}",1490593835,1.78628e+16,2017-03-26_17-23-28,Superbe photo,[],[],Superbe photo,"['Superbe', 'photo']","[u'superb', u'photo']"
92,"{""username"":""brasseriechezjules"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/13126655_1078638245526363_605141204_a.jpg"",""id"":""1837595920""}",1491083983,1.78526e+16,2017-03-27_14-22-55,,[],[],nan,['nan'],[u'nan']
93,"{""username"":""cin_schaller"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/21985208_924653337689409_7103852457062563840_n.jpg"",""id"":""4630220654""}",1490667568,1.78756e+16,2017-03-27_14-22-55,Magnifique,[],[],Magnifique,['Magnifique'],[u'magnifiqu']
94,"{""username"":""focused_on_canada"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/16465879_712659412241317_4468869357878902784_a.jpg"",""id"":""2714045""}",1490656562,1.78533e+16,2017-03-27_14-22-55,Merci de présenter ma photo!,[],[],Merci de senter photo,"['Merci', 'de', 'senter', 'photo']","[u'merci', 'de', u'senter', u'photo']"
