,Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category,language,Reactions_SUM,sentiment_score,sentiment_type
416,416,742809211772473344,2,0,2016-06-14 20:01:31,: Rorqual à bosse empêtré sauvé par et ce week-end!,[],['https://t.co/uwFbeN4eo4'],RT RPNPacificRim Rorqual bosse par et RPNPacificRim ce week end https co uwFbeN4eo4,"['RT', 'RPNPacificRim', 'Rorqual', 'bosse', 'par', 'et', 'RPNPacificRim', 'ce', 'week', 'end', 'https', 'co', 'uwFbeN4eo4']","['rt', u'rpnpacificrim', u'rorqual', u'boss', u'par', 'et', u'rpnpacificrim', 'ce', u'week', u'end', u'https', 'co', u'uwfben4eo4']",RT @RPNPacificRim: Rorqual à bosse empêtré sauvé par @DFO_Pacific  et @RPNPacificRim ce week-end! https://t.co/uwFbeN4eo4,Environmental,en,2,0.0,Neutral
417,417,905115048951123969,2,0,2017-09-05 17:06:58,: Félicitations aux derniers diplômés du programme de formation de plongée GCC Sea Island!,['#ColombieBritannique'],['https://t.co/FIT\xe2\x80\xa6'],RT licitations aux derniers du programme de formation de GCC Sea Island ColombieBritannique https co,"['RT', 'licitations', 'aux', 'derniers', 'du', 'programme', 'de', 'formation', 'de', 'GCC', 'Sea', 'Island', 'ColombieBritannique', 'https', 'co']","['rt', u'licit', u'aux', u'dernier', 'du', u'programm', 'de', u'format', 'de', u'gcc', u'sea', u'island', u'colombiebritanniqu', u'https', 'co']",RT @GCC_CCG: Félicitations aux derniers diplômés du programme de formation de plongée GCC Sea Island! #ColombieBritannique https://t.co/FIT…,Environmental,fr,2,0.0,Neutral
418,418,907344408642813952,2,0,2017-09-11 20:45:39,": Un nouveau programme scientifique du recevra ,8 M$ pour étudier les zones marines à circulation élevée http…",[],[],RT salledepresseGC Un nouveau programme scientifique du recevra 50 pour tudier les zones marines circulation,"['RT', 'salledepresseGC', 'Un', 'nouveau', 'programme', 'scientifique', 'du', 'recevra', '50', 'pour', 'tudier', 'les', 'zones', 'marines', 'circulation']","['rt', u'salledepressegc', 'un', u'nouveau', u'programm', u'scientifiqu', 'du', u'recevra', '50', u'pour', u'tudier', u'les', u'zone', u'marin', u'circul']","RT @salledepresseGC: Un nouveau programme scientifique du @MPO_DFO recevra 50,8 M$ pour étudier les zones marines à circulation élevée http…",Environmental,fr,2,0.0,Neutral
419,419,739856674115223553,2,0,2016-06-06 16:29:11,: Ne ratez pas ça! Plus qu’1 semaine pour postuler! Le concours clôt le juin,['#PlusScience'],"['https://t.co/Es43G9viba', 'https://t.c\xe2\x80\xa6']",RT Ne ratez pas Plus semaine pour postuler Le concours le 13 juin https co Es43G9viba PlusScience https,"['RT', 'Ne', 'ratez', 'pas', 'Plus', 'semaine', 'pour', 'postuler', 'Le', 'concours', 'le', '13', 'juin', 'https', 'co', 'Es43G9viba', 'PlusScience', 'https']","['rt', 'ne', u'ratez', u'pas', u'plus', u'semain', u'pour', u'postul', 'le', u'concour', 'le', '13', u'juin', u'https', 'co', u'es43g9viba', u'plusscienc', u'https']",RT @MPO_DFO: Ne ratez pas ça! Plus qu’1 semaine pour postuler! Le concours clôt le 13 juin https://t.co/Es43G9viba #PlusScience https://t.c…,Social,fr,2,0.0,Neutral
420,420,745700073804337152,2,0,2016-06-22 19:28:46,: Magnifique célébration hier dans la région de l'Ouest,['#JNACanada'],['https://t.co/Eqk9T1PNZ5'],RT Magnifique bration JNACanada hier dans la gion de Ouest https co Eqk9T1PNZ5,"['RT', 'Magnifique', 'bration', 'JNACanada', 'hier', 'dans', 'la', 'gion', 'de', 'Ouest', 'https', 'co', 'Eqk9T1PNZ5']","['rt', u'magnifiqu', u'bration', u'jnacanada', u'hier', u'dan', 'la', u'gion', 'de', u'ouest', u'https', 'co', u'eqk9t1pnz5']",RT @GCC_CCG: Magnifique célébration #JNACanada hier dans la région de l'Ouest @MPO_Pacifique https://t.co/Eqk9T1PNZ5,Social,fr,2,0.0,Neutral
421,421,900015097527107587,2,0,2017-08-22 15:21:35,: Ravis de travailler avec inspirant les futures dirigeantes dans le domaine des STIM. (ang seul),[],['https://t.co/weFD\xe2\x80\xa6'],RT Ravis de travailler avec AchieveGirl inspirant les futures dirigeantes dans le domaine des STIM ang seul https co,"['RT', 'Ravis', 'de', 'travailler', 'avec', 'AchieveGirl', 'inspirant', 'les', 'futures', 'dirigeantes', 'dans', 'le', 'domaine', 'des', 'STIM', 'ang', 'seul', 'https', 'co']","['rt', u'ravi', 'de', u'travail', u'avec', u'achievegirl', u'inspir', u'les', u'futur', u'dirigeant', u'dan', 'le', u'domain', u'des', u'stim', u'ang', u'seul', u'https', 'co']",RT @GCC_CCG: Ravis de travailler avec @AchieveGirl inspirant les futures dirigeantes dans le domaine des STIM. (ang seul) https://t.co/weFD…,Social,fr,2,0.0,Neutral
422,422,903754454637391873,1,1,2017-09-01 23:00:27,sur l'eau. Déposez un plan de navigation avant de partir et remettez une copie à vos amis ou à votre famille.,['#SoyezPrudents'],['https://t.co/98BxuJIJem'],SoyezPrudents sur eau posez un plan de navigation avant de partir et remettez une copie vos amis ou votre famille https co 98BxuJIJem,"['SoyezPrudents', 'sur', 'eau', 'posez', 'un', 'plan', 'de', 'navigation', 'avant', 'de', 'partir', 'et', 'remettez', 'une', 'copie', 'vos', 'amis', 'ou', 'votre', 'famille', 'https', 'co', '98BxuJIJem']","[u'soyezprud', u'sur', u'eau', u'posez', 'un', u'plan', 'de', u'navig', u'avant', 'de', u'partir', 'et', u'remettez', u'une', u'copi', u'vos', u'ami', 'ou', u'votr', u'famill', u'https', 'co', u'98bxujijem']",#SoyezPrudents sur l'eau. Déposez un plan de navigation avant de partir et remettez une copie à vos amis ou à votre famille. https://t.co/98BxuJIJem,Social,fr,2,0.0,Neutral
423,423,903724369624616960,1,1,2017-09-01 21:00:54,"Avion de surveillance, NGCC M.Charles et patrouilles terrestres &amp; marines : des outils des êches sur le fleuve","['#agentsp', '#Fraser']",['https://t.co/bOtQV3MKn5'],Avion de surveillance NGCC Charles et patrouilles terrestres amp marines des outils des sur le fleuve Fraser https co bOtQV3MKn5,"['Avion', 'de', 'surveillance', 'NGCC', 'Charles', 'et', 'patrouilles', 'terrestres', 'amp', 'marines', 'des', 'outils', 'des', 'sur', 'le', 'fleuve', 'Fraser', 'https', 'co', 'bOtQV3MKn5']","[u'avion', 'de', u'surveil', u'ngcc', u'charl', 'et', u'patrouill', u'terrestr', u'amp', u'marin', u'des', u'outil', u'des', u'sur', 'le', u'fleuv', u'fraser', u'https', 'co', u'botqv3mkn5']","Avion de surveillance, NGCC M.Charles et patrouilles terrestres &amp; marines : des outils des #agentspêches sur le fleuve #Fraser https://t.co/bOtQV3MKn5",Environmental,fr,2,0.0,Neutral
424,424,750096463657570304,2,0,2016-07-04 22:38:27,: Nos bateaux de jouent un rôle majeur dans le travail accompli tous les jours. ère,"['#SAR', '#GCCFi']",['https://t.co/eVDQECD1ZS'],RT Nos bateaux de SAR jouent un le majeur dans le travail accompli tous les jours https co eVDQECD1ZS,"['RT', 'Nos', 'bateaux', 'de', 'SAR', 'jouent', 'un', 'le', 'majeur', 'dans', 'le', 'travail', 'accompli', 'tous', 'les', 'jours', 'https', 'co', 'eVDQECD1ZS']","['rt', u'nos', u'bateaux', 'de', u'sar', u'jouent', 'un', 'le', u'majeur', u'dan', 'le', u'travail', u'accompli', u'tous', u'les', u'jour', u'https', 'co', u'evdqecd1z']",RT @GCC_CCG: Nos bateaux de #SAR jouent un rôle majeur dans le travail accompli tous les jours. #GCCFière https://t.co/eVDQECD1ZS,Environmental,fr,2,0.0,Neutral
425,425,789145618426032129,2,0,2016-10-20 16:45:51,"âceÀElle, à l’océanographe Edith Berkeley, le Canada est devenu dans les années une référence dans le domaine des plychètes",['#Gr'],['https://t.co/ngsvBLievp'],Elle anographe Edith Berkeley le Canada est devenu dans les es 1900 une rence dans le domaine des tes https co ngsvBLievp,"['Elle', 'anographe', 'Edith', 'Berkeley', 'le', 'Canada', 'est', 'devenu', 'dans', 'les', 'es', '1900', 'une', 'rence', 'dans', 'le', 'domaine', 'des', 'tes', 'https', 'co', 'ngsvBLievp']","[u'ell', u'anograph', u'edith', u'berkeley', 'le', u'canada', u'est', u'devenu', u'dan', u'les', 'es', u'1900', u'une', u'renc', u'dan', 'le', u'domain', u'des', u'tes', u'https', 'co', u'ngsvblievp']","#GrâceÀElle, à l’océanographe Edith Berkeley, le Canada est devenu dans les années 1900 une référence dans le domaine des plychètes https://t.co/ngsvBLievp",Social,fr,2,0.0,Neutral
426,426,752636187161001984,1,1,2016-07-11 22:50:24,"Un guide de pêche portant un gilet de sauvetage est tombé à l’eau, a été secouru par près de","['#Kyuquot', '#SAR']",['https://t.co/KLjWl2shfv'],Un guide de portant un gilet de sauvetage est eau secouru par de Kyuquot SAR https co KLjWl2shfv,"['Un', 'guide', 'de', 'portant', 'un', 'gilet', 'de', 'sauvetage', 'est', 'eau', 'secouru', 'par', 'de', 'Kyuquot', 'SAR', 'https', 'co', 'KLjWl2shfv']","['un', u'guid', 'de', u'portant', 'un', u'gilet', 'de', u'sauvetag', u'est', u'eau', u'secouru', u'par', 'de', u'kyuquot', u'sar', u'https', 'co', u'kljwl2shfv']","Un guide de pêche portant un gilet de sauvetage est tombé à l’eau, a été secouru par @GCC_CCG près de #Kyuquot #SAR https://t.co/KLjWl2shfv",Environmental,fr,2,0.0,Neutral
427,427,908438574697205766,2,0,2017-09-14 21:13:28,: Félicitations au récipiendaire du prix d'excellence: Richard J. Beamish du MPO (ang. seulement) https…,[],[],RT licitations au cipiendaire du AmFisheriesSoc 2017 prix excellence Richard Beamish du MPO ang seulement,"['RT', 'licitations', 'au', 'cipiendaire', 'du', 'AmFisheriesSoc', '2017', 'prix', 'excellence', 'Richard', 'Beamish', 'du', 'MPO', 'ang', 'seulement']","['rt', u'licit', 'au', u'cipiendair', 'du', u'amfisheriessoc', u'2017', u'prix', u'excel', u'richard', u'beamish', 'du', u'mpo', u'ang', u'seulement']",RT @MPO_Science: Félicitations au récipiendaire du @AmFisheriesSoc 2017 prix d'excellence: Richard J. Beamish du MPO (ang. seulement) https…,Environmental,fr,2,0.0,Neutral
