status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
9079455019_10155609866290020,Grade 4 students had fun visiting SFU Surrey last week and made silver with SFU Science Outreach. 📸:@sfu_sia on Instagram,Timeline Photos,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155609866290020/?type=3,2017-12-13 18:39:02,117,5,1,110,7,0,0,0,0,0
9079455019_10155609613305020,International public health mathematician Caroline Colijn will join SFU as Canada 150 Research Chair in 2018.,SFU Research,link,http://ow.ly/cKQ030hcLd7,2017-12-13 16:36:36,15,2,0,13,2,0,0,0,0,0
9079455019_10155609097990020,"Thanks to the support and generosity of our donors, students with financial needs can continue to pursue their education. http://ow.ly/LVol30hcNLv",Year-end giving,link,http://ow.ly/LVol30hcNLv,2017-12-13 13:11:55,8,0,1,7,1,0,0,0,0,0
9079455019_10155606913770020,Fighting injustice is a large task to tackle. Jien explores organizations you can volunteer with to fight for social justice in her latest blog.,SFU Career Services,link,http://i.sfu.ca/tWfIsv,2017-12-12 18:22:00,7,1,0,6,1,0,0,0,0,0
9079455019_10155606550565020,"More than 100 Simon Fraser University and Kwantlen Polytechnic University
students performed a flash mob before a recent Vancouver Canucks game!",100+ students perform Bhangra flash mob before Canucks game (VIDEO),link,http://dailyhive.com/vancouver/canucks-bhangra-flash-mob-dance,2017-12-12 15:40:03,174,8,26,154,20,0,0,0,0,0
9079455019_10155606170095020,You're almost there! The end of exams is in sight!,SFU Department of English,photo,https://www.facebook.com/SFUEnglish/photos/a.10152077613637257.1073741827.112097697256/10154841835537257/?type=3,2017-12-12 12:12:02,59,2,0,53,6,0,0,0,0,0
9079455019_10155604381220020,"Just how good is our childcare at SFU? 

Katrina Chen, minister of state for childcare, toured the facility last week to get a look at quality childcare in action. 

http://ow.ly/DoKa30ha2Gi",Timeline Photos,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155604381220020/?type=3,2017-12-11 18:50:04,7,0,0,5,2,0,0,0,0,0
9079455019_10155604325790020,It’s been an amazing year SFU! As the semester comes to a close we wish everyone good luck on final exams and we join President Petter in wishing you a happy holiday season. http://at.sfu.ca/aWxqBY,Timeline Photos,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155604325790020/?type=3,2017-12-11 18:13:19,42,1,0,41,1,0,0,0,0,0
9079455019_10155596498040020,"With the temperature inversion this week, the views from SFU's Burnaby campus are spectacular! Here's a sampling of images from various campus community members. 

Care to share your SFU-above-the-clouds-pic? Please do, in the comments section.",Photos from Simon Fraser University's post,photo,https://www.facebook.com/simonfraseruniversity/photos/a.214356970019.172898.9079455019/10155596486710020/?type=3,2017-12-08 17:30:01,400,41,30,355,36,9,0,0,0,0
9079455019_10155596224245020,Congrats to these SFU School of Interactive Arts + Technology students!,SIAT Wins Big at the Vancouver UX Design Awards for the 2nd Year in a Row - SFU News - Simon Fraser University,link,http://ht.ly/J79i30h6wj9,2017-12-08 15:05:05,82,3,3,76,6,0,0,0,0,0
9079455019_10155593532100020,SFU wishes you a sparktacular holiday season and a wonderful 2018.,SFU 2017 Holiday Video,video,https://www.facebook.com/simonfraseruniversity/videos/10155593532100020/,2017-12-08 11:00:00,709,40,80,650,48,0,10,0,1,0
9079455019_10155594228010020,"With the cool, crisp weather it's a good time to review tips to avoid slips. http://ht.ly/TbF530h5qXi",Severe Weather - Safety & Risk Services - Simon Fraser University,link,http://ht.ly/TbF530h5qXi,2017-12-07 19:05:07,65,2,5,62,3,0,0,0,0,0
