,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls
91,1965701726789855_1972718752754819,134615279898518_1965701726789855,,2017-12-27 20:55:19,1,1,0,0,0,0,0,0,"C'est une très belle offre (et le tarif est très avantageu, mais, pour ma part, tant que les chiens ne seront pas admis dans les sentiers (alors qu'ils sont admis sur les sites de camping), je ne m'en prévaudrai pas. Pourquoi vous visiter avec mon chien si je ne peux pas pratiquer l'une de mes activités favorites en sa compagnie?",[],[]
92,1965701726789855_1974981999195161,134615279898518_1965701726789855,1965701726789855_1972718752754819,2017-12-30 00:26:28,1,1,0,0,0,0,0,0,"Au parc Forillon, les chiens sont admis partout.",[],[]
93,1965701726789855_1973168126043215,134615279898518_1965701726789855,,2017-12-28 08:48:40,0,0,0,0,0,0,0,0,Kociala Rabhi,[],[]
94,1965701726789855_1973527766007251,134615279898518_1965701726789855,,2017-12-28 16:14:59,1,1,0,0,0,0,0,0,Veronique Cyr ! On prépare le camping pour oublier le froid !,[],[]
95,1965701726789855_1973786065981421,134615279898518_1965701726789855,1965701726789855_1973527766007251,2017-12-28 22:59:02,0,0,0,0,0,0,0,0,Tellement!!!!,[],[]
96,1965701726789855_1974547429238618,134615279898518_1965701726789855,,2017-12-29 14:59:38,0,0,0,0,0,0,0,0,Stefany Gonzalez Naomi Samountry,[],[]
97,1962885693738125_1966115586748469,134615279898518_1962885693738125,,2017-12-21 18:59:24,1,1,0,0,0,0,0,0,Bernard Boivin ... aussi à notre âge... sourire,[],[]
98,1941951465831548_1965107620182599,134615279898518_1941951465831548,,2017-12-20 19:59:28,1,1,0,0,0,0,0,0,"Linda Roussin , ces bon maman on va labas oubliez nos problème",[],[]
99,1941951465831548_1965124650180896,134615279898518_1941951465831548,,2017-12-20 20:29:34,0,0,0,0,0,0,0,0,Jordan Laneuville,[],[]
100,1941951465831548_1965125000180861,134615279898518_1941951465831548,1941951465831548_1965124650180896,2017-12-20 20:30:14,0,0,0,0,0,0,0,0,Quand on y va,[],[]
101,1941951465831548_1965125243514170,134615279898518_1941951465831548,1941951465831548_1965124650180896,2017-12-20 20:30:34,0,0,0,0,0,0,0,0,demain !?,[],[]
102,1941951465831548_1965127873513907,134615279898518_1941951465831548,1941951465831548_1965124650180896,2017-12-20 20:34:56,0,0,0,0,0,0,0,0,Jtravail,[],[]
103,1941951465831548_1965129160180445,134615279898518_1941951465831548,,2017-12-20 20:36:56,0,0,0,0,0,0,0,0,"Lucie Picard, Michel Blais, on connaît ça nous!",[],[]
104,1941951465831548_1965171586842869,134615279898518_1941951465831548,,2017-12-20 21:42:17,2,2,0,0,0,0,0,0,Petit souvenir Caroline Drolet Nadine Belleville Jean Frenette,[],[]
