,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls
32,566325673547435_799452500234750,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/799452500234750/?type=3,2017-11-28 15:00:47,1,0,0,1,0,0,0,0,0,0,L'interconnexion est le transfert de trafic entre deux compagnies de chemin de fer à un prix réglementé. Info >,[],['http://ow.ly/JUmn30dr5Kj']
33,566325673547435_799147130265287,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/799147130265287/?type=3,2017-11-27 22:00:20,0,0,0,0,0,0,0,0,0,0,"Est ce que les coûts d’eloitation « plus élevés » d’un navire canadien offert sont considérés comme une preuve suffisante que le navire canadien n’est pas adapté sur le plan commercial? Pas exactement. Si les demandeurs invoquent l’argument de l’« adaptabilité économique », ils doivent fournir des preuves claires à cet égard et les offrants doivent répondre en fournissant des éléments de preuve clairs indiquant le contraire. Cela fait partie du processus d'actes de procédure. Pour en savoir plus sur ce processus, consultez la partie de nos lignes directrices :",[],['http://ow.ly/bTAa30aDEoT']
34,566325673547435_798543940325606,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/798543940325606/?type=3,2017-11-26 12:00:53,0,0,0,0,0,0,0,0,0,0,"La boxe n’en fait pas partie... Mais nous avons quatre autres moyens de régler les différends liés au réseau de transport fédéral. - La médiation - la facilitation - l’arbitrage -le processus décisionnel formel Apprenez-en davantage, visitez",[],['http://ow.ly/sb2I30dcwOg']
35,566325673547435_797630327083634,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/797630327083634/?type=3,2017-11-24 10:01:26,0,0,0,0,0,0,0,0,0,0,"> Vous avez un problème? Si vous n'êtes pas satisfait de la réponse de votre transporteur aérien au sujet de votre plainte écrite, consultez ce site Web pour savoir comment nous pouvons vous aider. > Prenez l'air averti > Dix conseils clés >",['#Astucesvoyage'],['http://ow.ly/4nk1SM']
36,566325673547435_797357237110943,"Limites relatives aux bagages, frais et responsabilité",video,http://ow.ly/L4vf306W0Yf,2017-11-23 17:50:04,0,0,0,0,0,0,0,0,0,0,"Que se passe-t-il si une ligne aérienne perd vos bagages? Tout dépend de la ligne aérienne avec laquelle vous voyagez. Pour plus d'information, visitez:",[],['http://ow.ly/L4vf306W0Yf']
37,566325673547435_796816113831722,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/796816113831722/?type=3,2017-11-22 12:01:04,0,0,0,0,0,0,0,0,0,0,"Notre code de valeurs et d’éthique Ces valeurs nous guident dans nos fonctions professionnelles : - respect de la démocratie - respect envers les personnes - intégrité - intendance - excellence Pour obtenir plus d’information sur notre code de valeurs et d’éthique, consultez",[],['http://ow.ly/HtHa30dcuJo']
38,566325673547435_796427913870542,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/796427913870542/?type=3,2017-11-21 15:00:16,0,0,0,0,0,0,0,0,0,0,Nous participons à la réglementation économique des compagnies de chemin de fer de façons multiples. Info >,['#AgCan'],['http://ow.ly/qz6A30dr88H']
39,566325673547435_795896847256982,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/795896847256982/?type=3,2017-11-20 12:04:05,0,0,0,0,0,0,0,0,0,0,"La transparence des communications est un aspect important du processus d'actes de procédure lié aux demandes de licence de cabotage. Pour que ce processus se déroule bien, toutes les parties doivent fournir, à toutes les autres parties et dans les délais fixés, une copie conforme de toute correspondance échangée concernant les mesures prises à chaque étape. Pour en savoir plus sur notre processus d'actes de procédure, consultez la partie de nos lignes directrices :",[],['http://ow.ly/bTAa30aDEoT']
40,566325673547435_794518337394833,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/794518337394833/?type=3,2017-11-17 10:01:25,0,0,3,0,0,0,0,0,0,0,"> Ne ratez pas votre vol! Si possible, pré-selectionnez votre siège avant le départ. Confirmez votre vol de retour au moins heures avant le vol. Fournissez à votre transporteur vos coordonnées actuelles afin qu’il puisse vous aviser de tout retard ou de toute annulation de vol. Vérifiez l’état de votre vol au moins heures avant le départ prévu, puis juste avant de vous rendre à l'aéroport. > Prenez l'air averti > Dix conseils clés >",['#Astucesvoyage'],['http://ow.ly/4nk1SM']
41,566325673547435_793557664157567,Timeline Photos,photo,https://www.facebook.com/OfficeDesTransportsDuCanada/photos/a.568957893284213.1073741828.566325673547435/793557664157567/?type=3,2017-11-15 12:01:52,0,0,0,0,0,0,0,0,0,0,"Chaque année, les agents verbalisateurs effectuent plus de inspections des installations et des transporteurs aériens. Les mesures d'application de la loi ont diminué au fur et à mesure que les transporteurs aériens et les eloitants de terminaux sont devenus plus conscients des changements réglementaires. Pour obtenir de plus amples renseignements sur la portée et les limites de nos activités d'application de la loi, consultez",[],['http://ow.ly/Ec6230fiQjo']
