,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls
55,1203325126385126_1658700170847617,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1658700170847617/?type=3,2017-11-07 10:30:12,0,0,0,0,0,0,0,0,0,0,DYK? Railways move more goods across this vast land than any other mode of transport. Happy National Railway Day!,['#NRD2017'],[]
56,1203325126385126_1657809137603387,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1657809137603387/?type=3,2017-11-06 12:00:17,0,0,0,0,0,0,0,0,0,0,"Do you feel like your life has gone off the rails? Existential crises aside, the most common complaints and disputes about rail transportation we can help with include: - Noise and vibration - Problems related to a disability or health issue - Level of service - Rail level of service agreements - Interswitching - Crossings - Line transfer and discontinuance For more information about rail related complaints and disputes, see:",[],['http://ow.ly/VOBk307nIxQ']
57,1203325126385126_1656852047699096,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1656852047699096/?type=3,2017-11-05 12:00:30,2,1,0,1,0,0,0,0,1,0,"Fostering compliance with Canadian laws and regulations among air service providers is our business. Our enforcement officers perform regular inspections and conduct targeted investigations to verify, promote and enforce compliance. Interested in knowing how we are doing? See our latest statistics: .",['#a1c'],['https://www.otc-cta.gc.ca/eng/statistics-2016-2017#a']
58,1203325126385126_1654720311245603,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1654720311245603/?type=3,2017-11-03 09:00:32,0,0,0,0,0,0,0,0,0,0,"> Be Sure to Have All of Your Travel Documents It's your responsibility to have the proper travel documents to enter a foreign country and return to Canada. All Canadian travellers, including children, must have their own passport. Consult the diplomatic mission of each country you intend to visit for its entry requirements. > Top Tips >","['#TravelTips', '#FlySmart']",['http://ow.ly/uy2l3061cit']
59,1203325126385126_1653944431323191,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1653944431323191/?type=3,2017-11-02 12:00:35,1,0,1,0,1,0,0,0,0,0,Plan ahead when applying for your coasting trade license to avoid delays >,"['#shipping', '#maritime']",['http://ow.ly/hRdD30aDDqn']
60,1203325126385126_1652972024753765,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1652972024753765/?type=3,2017-11-01 11:00:54,2,0,0,1,0,0,0,0,1,0,"We have a hard time elaining to our mothers what we do... Our mandate is diverse. We provide consumer protection for air passengers. We protect the human right of persons with disabilities to an accessible transportation network. We help ensure Canada's national transportation system runs efficiently and smoothly in the interests of all Canadians: those who work and invest in it; the producers, shippers, travellers and businesses who rely on it; and the communities where it operates. For more information about our work, see",[],['www.otc-cta.gc.ca']
61,1203325126385126_1651992981518336,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1651992981518336/?type=3,2017-10-31 11:01:19,4,10,0,1,0,0,1,0,2,0,"Did you know? The CTA's enforcement officers have issued warning letters and notices of violation resulting in $700,000 in penalties in the last five years.",[],[]
62,1203325126385126_1648004501917184,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1648004501917184/?type=3,2017-10-27 14:20:07,0,0,0,0,0,0,0,0,0,0,We participate in the economic regulation of railway companies in multiple ways >,"['#grain', '#CdnAg', '#agchat']",['http://ow.ly/GQkI30dr81k']
63,1203325126385126_1646992388685062,Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1646992388685062/?type=3,2017-10-26 14:00:47,0,0,0,0,0,0,0,0,0,0,"Interested in knowing how we determine the ""suitability"" of a foreign ship to perform a proposed marine activity? Three steps: . We look at its technical and operational characteristics. . We look at the commercial and economic implications of using the foreign ship versus the offered Canadian ship. . We need you to convince us that a foreign ship is ""suitable"" from a commercial point of view. For more information, see section of our Guidelines at 8.",[],['http://ow.ly/k3Xp30aF1t']
64,1203325126385126_1645668102150824,,status,,2017-10-25 07:01:11,0,0,0,0,0,0,0,0,0,0,Oral hearing today: West Vancouver vs. CN >,['#westvan'],['http://ow.ly/i1ar30f4p7B']
