Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,language,average_sentiment_score,sentiment,account_name,lemmatized_text,matched_keywords,category,category
30,869952200868540421,2017-05-31 16:22:22,['https://\xe2\x80\xa6'],RT @Transports_gc: Min. Garneau annonce un programme pour enlever les bateaux abandonnés sur #NosCôtes. #PlanDeProtectionDesOcéans https://…,RT Min Garneau annonce un programme pour enlever les bateaux sur tes ans https,"['#NosC', '#PlanDeProtectionDesOc']",12,0,12,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['transports_gc', 'min', 'garneau', 'annonce', 'programme', 'enlever', 'les', 'bateau', 'abandonné', '#noscôtes', '#plandeprotectiondesocéans', 'https…']","['garneau', '#plandeprotectiondesocéans']",Economical,Economical
31,771745285844430849,2016-09-02 16:23:09,['https://t.co/5wuOeDQBmI'],RT @MPO_DFO: Le #GC révise la #Loisurlespêches. Les fonds sont accessibles aux groupes autochtones. https://t.co/5wuOeDQBmI,RT Le GC vise la Les fonds sont accessibles aux groupes autochtones https co 5wuOeDQBmI,"['#GC', '#Loisurlesp']",12,0,12,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['mpo_dfo', '#gc', 'révise', '#loisurlespêches', 'les', 'fond', 'accessibles', 'groupe', 'autochtone', 'httpstco5wuoedqbmi']",['autochtone'],Social,Social
32,884450467329314819,2017-07-10 16:33:18,"['https://t.co/OJT3P4n0mm', 'https://t.co/KmWYAwJUVT']",RT @MPO_DFO: Nous sommes maintenant sur Facebook! Plongez dans notre contenu ?? https://t.co/OJT3P4n0mm https://t.co/KmWYAwJUVT,RT Nous sommes maintenant sur Facebook Plongez dans notre contenu https co OJT3P4n0mm https co KmWYAwJUVT,[],12,0,12,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['mpo_dfo', 'maintet', 'facebook', 'plongez', 'contenu', 'httpstcoojt3p4n0mm', 'httpstcokmwyawjuvt']",[],unknown,unknown
33,737300680256462848,2016-05-30 15:12:35,['https://\xe2\x80\xa6'],"RT @PMcanadien: Douglas Jung, le premier Canadien d’origine chinoise à servir comme membre du Parlement #Moisdupatrimoineasiatique https://…",RT PMcanadien Douglas Jung le premier Canadien origine chinoise servir comme membre du Parlement Moisdupatrimoineasiatique https,['#Moisdupatrimoineasiatique'],11,0,11,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['pmcanadien', 'douglas', 'jung', 'premier', 'canadien', ""d'origine"", 'chinois', 'servir', 'comme', 'membre', 'parlement', '#moisdupatrimoineasiatique', 'https…']",[],unknown,unknown
34,728681171811446784,2016-05-06 20:21:44,"['https://t.co/051sapH2nW', 'https://t.\xe2\x80\xa6']",RT @MPO_DFO: Nous avons prévu un événement intéressant! Encerclez la date dans votre calendrier! #OdySci https://t.co/051sapH2nW https://t.…,RT Nous avons vu un nement ressant Encerclez la date dans votre calendrier OdySci https co 051sapH2nW https,['#OdySci'],11,0,11,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['mpo_dfo', 'prévu', 'événement', 'intéressant', 'encerclez', 'date', 'calendrier', '#odysci', 'httpstco051saph2nw', 'httpst…']",['événement'],Social,Social
35,870722706999836672,2017-06-02 19:24:05,[],RT @environnementca: 5 juin : le Canada sera l’hôte de la #JournéeMondialeDelEnvironnement. Comment vous rapprocherez-vous de la #nature? h…,RT environnementca juin le Canada sera te de la eMondialeDelEnvironnement Comment vous rapprocherez vous de la nature,"['#Journ', '#nature']",10,0,10,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['environnementca', 'juin', 'canada', ""l'hôte"", '#journéemondialedelenvironnement', 'comment', 'rapprocherez-vous', '#nature']",['#journéemondialedelenvironnement'],Environmental,Environmental
36,725455463937134593,2016-04-27 22:43:55,"['https://t.co/8lYjlHRRYT', 'https://t.co/b9xllcq1pX']",RT @MPO_DFO: Le  Canada travaille fort pour que ses pêches continuent à être durables #SEG16 https://t.co/8lYjlHRRYT https://t.co/b9xllcq1pX,RT Le Canada travaille fort pour que ses continuent durables SEG16 https co 8lYjlHRRYT https co b9xllcq1pX,['#SEG16'],10,0,10,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['mpo_dfo', 'canada', 'travaille', 'fort', 'pêche', 'continuent', 'être', 'durables', '#seg16', 'httpstco8lyjlhrryt', 'httpstcob9xllcq1px']",[],unknown,unknown
37,730411266896990208,2016-05-11 14:56:31,[],RT @salledepresseGC: Ministre Tootoo annonce le détail des 197M$ investis dans la science des océans &amp; eaux douces #PlusScience #OdySci htt…,RT salledepresseGC Ministre Tootoo annonce le tail des 197M investis dans la science des ans amp eaux douces PlusScience OdySci,"['#PlusScience', '#OdySci']",10,0,10,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['salledepressegc', 'ministre', 'tootoo', 'annonce', 'détail', '197m', 'investis', 'science', 'océan', 'amp', 'eau', 'douce', '#plusscience', '#odysci', 'htt…']","['ministre', 'océan', 'eau']",Environmental,Environmental
38,706223337383579649,2016-03-05 21:02:19,[],RT @MPO_DFO: 76000 Canadiens gagnent leur vie grâce à la #pêche ou aux activités connexes #PêcheEnBref,RT 76000 Canadiens gagnent leur vie ce la ou aux connexes,"['#p', '#P']",10,0,10,fr,0.0,Neutral,MPO_Pacifique_tweeter,"['mpo_dfo', '76000', 'canadien', 'gagnent', 'vie', 'grâce', '#pêche', 'activité', 'connexes', '#pêcheenbref']","['vie', 'activité', '#pêcheenbref']",Social,Social
39,902969072484319237,2017-08-30 18:59:37,['https://\xe2\x80\xa6'],RT @Transports_gc: Portez toujours un #GiletDeSauvetage ou un #VFI à bord. Il vous sera d’un grand secours si vous tombez à l’eau! https://…,RT Portez toujours un GiletDeSauvetage ou un VFI bord Il vous sera un grand secours si vous tombez eau https,"['#GiletDeSauvetage', '#VFI']",10,0,10,fr,0.625,Positive,MPO_Pacifique_tweeter,"['transports_gc', 'portez', 'toujours', '#giletdesauvetage', '#vfi', 'bord', ""d'un"", 'grand', 'secours', 'tombez', ""l'eau"", 'https…']",[],unknown,unknown
