,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type,text_original
37,37,37,37,"{""username"":""thegreatjoceline"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14134621_1589686114668080_820281783_a.jpg"",""id"":""3684009738""}",1484270165,1.78692e+16,2017-01-12_12-28-09,On en a fait du chemin?,[],[],fait chemin,"['fait', 'chemin']","[u'fait', u'chemin']",fait chin,0.0,0.0,Neutral,Neutral,On en a fait du chemin?
38,38,38,38,"{""username"":""dannyslapbass"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19051051_460898334262363_7030596292271144960_a.jpg"",""id"":""1788974774""}",1484755482,1.78472e+16,2017-01-18_06-46-45,bien sur!!,[],[],bien,['bien'],[u'bien'],bien,0.0,0.0,Neutral,Neutral,@environnementcan bien sur!!
39,39,39,39,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1484754531,1.78614e+16,2017-01-18_06-46-45,Il est tellement mignon,[],[],tellement mignon,"['tellement', 'mignon']","[u'tellement', u'mignon']",element minor,0.0,-0.05,Neutral,Neutral,Il est tellement mignon 🐻😍
40,40,40,40,"{""username"":""dannyslapbass"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19051051_460898334262363_7030596292271144960_a.jpg"",""id"":""1788974774""}",1484752375,1.78577e+16,2017-01-18_06-46-45,Nice!!!,[],[],Nice,['Nice'],[u'nice'],Vice,0.6,0.0,Positive,Neutral,Nice!!!
41,41,41,41,"{""username"":""jericka88"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26222394_2072301653006353_4941605056551059456_n.jpg"",""id"":""32927813""}",1485484023,1.78478e+16,2017-01-26_10-32-16,Wow! Quelle magnifique et étrange espèce.,[],[],Wow Quelle magnifique et trange ce,"['Wow', 'Quelle', 'magnifique', 'et', 'trange', 'ce']","[u'wow', u'quell', u'magnifiqu', 'et', u'trang', 'ce']",Now Quelle magnifique et strange ce,0.1,-0.05,Neutral,Neutral,Wow! Quelle magnifique et étrange espèce. 😨😍
42,42,42,42,"{""username"":""dannyslapbass"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19051051_460898334262363_7030596292271144960_a.jpg"",""id"":""1788974774""}",1485802396,1.78507e+16,2017-01-30_08-01-35,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,😍😍
43,43,43,43,"{""username"":""lysianecf"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14701060_548137552050987_6368943454902288384_a.jpg"",""id"":""1396603340""}",1486822431,1.78719e+16,2017-02-11_05-20-35,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,👏👏👏
44,44,44,44,"{""username"":""darthbulshiter"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/20065512_468453020196230_3066610991555936256_a.jpg"",""id"":""375123003""}",1487459733,1.78495e+16,2017-02-17_07-57-53,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,@juliensc91
45,45,45,45,"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1487801759,1.78731e+16,2017-02-20_07-04-12,La Colombie-Britannique protège % de ses terres!,[],[],La Colombie Britannique ge de ses terres,"['La', 'Colombie', 'Britannique', 'ge', 'de', 'ses', 'terres']","['la', u'colombi', u'britanniqu', 'ge', 'de', u'ses', u'terr']",A Colombia Britannique he de ses teres,0.0,0.0,Neutral,Neutral,La Colombie-Britannique protège 14% de ses terres! 🙌🏽
46,46,46,46,"{""username"":""yeg_blog"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/21984625_1583211938384486_3389032485659607040_n.jpg"",""id"":""3128282779""}",1487611050,1.78737e+16,2017-02-20_07-04-12,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,👍
