,Unnamed: 0,Unnamed: 0.1,owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
30,30,30,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1478018651,1.78438e+16,2016-11-01_09-43-38,,"['#Biologists', '#MigratoryBirds', '#BirdYear', '#InstaScience', '#BirdLovers', '#Wildlife', '#NewBrunswick', '#NB', '#Atlantic', '#Whimbrel', '#BirdNerds', '#WinterIsComing', '#CanEnvironment']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
31,31,31,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1478628927,1.78651e+16,2016-11-02_07-14-50,,"['#PhotoOfTheDay', '#DYI', '#BiologistsOfInstagram', '#WildlifeWednesday', '#BiologistLife', '#Construction', '#LastMountainLake', '#NationalWildlifeArea', '#Wetland', '#TeamWork', '#HustleHard', '#CanEnvironment', '#Saskatchewan']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
32,32,32,"{""username"":""sue_vue"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12798136_493632827486612_354749159_a.jpg"",""id"":""1485739187""}",1478101572,1.78644e+16,2016-11-02_07-14-50,is such an important place! TFS Kerry!,['#lastmountainlake'],[],important place TFS Kerry,"['important', 'place', 'TFS', 'Kerry']","[u'import', u'place', u'tfs', u'kerri']",important place TFS Merry,0.4,0.4,Positive,Positive
33,33,33,"{""username"":""lalonde.b"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/17333347_1689076991384956_6027792085162131456_a.jpg"",""id"":""3246949730""}",1478783146,1.78451e+16,2016-11-03_09-01-16,Awesome hat,[],[],Awesome hat,"['Awesome', 'hat']","[u'awesom', u'hat']",Awesome hat,1.0,1.0,Positive,Positive
34,34,34,"{""username"":""zooford"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/11377802_1599804436953308_1032186958_a.jpg"",""id"":""234010642""}",1478299198,1.78434e+16,2016-11-03_09-01-16,,['#CABINRCBA'],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
35,35,35,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1478188911,1.78646e+16,2016-11-03_09-01-16,,"['#InstaScience', '#ScienceFun', '#Scientist', '#Scientists', '#ScientistLife', '#Conservation', '#Invertebrates', '#Insects', '#InsectsOfInstagram', '#CapeBreton', '#NovaScotia', '#FreshWater', '#FallColors', '#CanEnvironment']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
36,36,36,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1478263234,1.7844e+16,2016-11-04_05-38-21,,"['#HamOnt', '#CleanWater', '#GreatLakes', '#GoodNews', '#Ontario', '#RandleReef', '#Fish', '#Tourism', '#DiscoverOn', '#DiscoverOntario', '#Friyay']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
37,37,37,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1478533284,1.78442e+16,2016-11-07_07-40-58,,"['#HugABearDay', '#Caribou', '#Tundra', '#HudsonBay', '#Ontario', '#DiscoverOntario', '#Monday', '#PhotoOfTheDay', '#Wildlife', '#WildlifePhotography', '#WildAnimal', '#ConservationPhotography', '#InstaWild', '#CanEnvironment', '#NoFilter']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral
38,38,38,"{""username"":""sue_vue"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12798136_493632827486612_354749159_a.jpg"",""id"":""1485739187""}",1478647335,1.78548e+16,2016-11-08_07-13-04,You guys are superheros! Go Kerry!,[],[],guys superheros Go Kerry,"['guys', 'superheros', 'Go', 'Kerry']","[u'guy', u'superhero', 'go', u'kerri']",guns superheros To Merry,0.0,0.0,Neutral,Neutral
39,39,39,"{""username"":""danieljvermeulen"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25019168_563866480630171_7202625903027814400_n.jpg"",""id"":""327904616""}",1478624941,1.78547e+16,2016-11-08_07-13-04,Still jealous that you get to do this each year,[],[],Still jealous get year,"['Still', 'jealous', 'get', 'year']","[u'still', u'jealous', u'get', u'year']",Still jealous get year,0.0,0.0,Neutral,Neutral
